"danceability","instrumentalness","liveness","valence","track.duration_ms","track.name","track.popularity","track.album.release_date","track.uri"
0.33,0.923,0.124,0.0786,164106,"Concerning Hobbits (From ""The Lord of the Rings: The Fellowship of the Ring"")",31,"2004-01-01","spotify:track:6LT3zKSGzdz0ryLbxmr00G"
0.547,0,0.3,0.933,172866,"Hooked on a Feeling",77,"1973","spotify:track:6Ac4NVYYl2U73QiTt11ZKd"
0.62,0.000102,0.156,0.564,205066,"I Really Like You",0,"2015-03-02","spotify:track:6YhDHby2eVeENKJNa7C2z6"
0.631,0.000119,0.356,0.919,203962,"Washing over Me (feat. Morning Parade)",33,"2013-10-15","spotify:track:6sfd41Z5fRJ8SJJMie60oh"
0.617,0.0482,0.36,0.808,238759,"L'Amour Toujours",61,"2011-01-14","spotify:track:4xGuK7FsXuZwHCCuNnPzbD"
0.558,0,0.322,0.832,214054,"Ultimate Assassin's Creed 3 Song",43,"2012-12-03","spotify:track:2JtZlYby65A8yYbSfNUMws"
0.239,0.853,0.304,0.287,109266,"Back To The Future - Skateboard Chase",0,"1990","spotify:track:7eOwHTvBspp7mTOy9b02ZV"
0.491,2.38e-06,0.0875,0.74,212893,"Summer Of '69",1,"1999-01-01","spotify:track:6oWpGuwokWJ4EcWgVQPdUt"
0.802,0.00765,0.0521,0.963,288293,"Boogie Wonderland",76,"1979-06","spotify:track:6ztstiyZL6FXzh4aG46ZPD"
0.528,0.985,0.0797,0.587,225493,"Sandstorm",73,"2001-01-01","spotify:track:6Sy9BUbgFse0n0LPA5lwy5"
0.721,3.79e-05,0.108,0.914,213573,"Never Gonna Give You Up",79,"1987-11-12","spotify:track:4uLU6hMCjMI75M1A2tKUQC"
0.515,7.24e-06,0.0895,0.442,247000,"Little Lion Man",3,"2012-11-16","spotify:track:1QTixxvaGxwe6GF8PBwAve"
0.169,4.88e-06,0.302,0.299,236440,"Schouder Aan Schouder",0,"2011-01-01","spotify:track:2Z7F9mYV5HGcbhPC9GzcBM"
0.73,0,0.0818,0.77,200560,"All Star",0,"2005-01-01","spotify:track:22c2pt75xtnDddA5Zlm0yy"
0.559,0.000176,0.776,0.609,209413,"Don't Stop Me Now - Remastered 2011",84,"1978-11-10","spotify:track:5T8EDUDqKcs6OSOwEsfqG7"
0.499,0.0989,0.115,0.271,337053,"Majestic",49,"2010-05-11","spotify:track:5yzxbU3DPhyfQvBBJExzb7"
0.698,0,0.208,0.513,91200,"Pleasure Elf",22,"2015-12-18","spotify:track:6UUhZ2XbImRzEQX5dgkQ6U"
0.654,0.869,0.357,0.351,295311,"Sweets (Soda Pop) - Extended Mix",0,"2014-10-13","spotify:track:18KjjUL4i1T4N6t6wMAqQc"
0.358,0.00428,0.178,0.356,413947,"Time - 2011 Remastered Version",0,"1973-03-16","spotify:track:23W5DHu31ZLW9q0p2wQxfN"
0.277,1.75e-05,0.0854,0.173,247360,"The Last Goodbye",50,"2014-01-01","spotify:track:6d0TOWCSShJAlEXf0sXTNk"
0.229,0.000332,0.114,0.247,99680,"Misty Mountains",64,"2012-01-01","spotify:track:1yJzoX4xPsACzVxUarXRKa"
0.769,0,0.0952,0.567,269186,"I Feel It Coming",3,"2016-11-25","spotify:track:4RepvCWqsP6zBuzvwYibAS"
0.516,5.98e-06,0.191,0.746,216386,"Drive It Like You Stole It",51,"2016-03-18","spotify:track:4rMN8vnOmVvQSMkXp6OLfv"
0.588,0.863,0.287,0.685,124640,"Summer Montage / Madeline - From ""La La Land"" Soundtrack",0,"2016-12-09","spotify:track:3B0f7zvoRK0C3bySXqYkIY"
0.77,0.593,0.426,0.444,98213,"The Happiest Days Of Our Lives - 2001 Remastered Version",32,"2001","spotify:track:6zcZqYYOL7h53RkxwrM70l"
0.697,0.000591,0.0885,0.783,241200,"Another Brick In The Wall - 2001 Remastered Version",32,"2001","spotify:track:00U1ArIyKbvVGSEh4Gdi1W"
0.193,0.9,0.0803,0.144,191066,"Rey's Theme",0,"2015-12-18","spotify:track:3IRYrM9MVI79zHkWoiulnV"
0.466,0.00979,0.116,0.375,204266,"La vie en rose",53,"1998-01-01","spotify:track:0Yj7WP1MbAqQVQA5Na4I7E"
0.326,0,0.461,0.492,508333,"Paradise By the Dashboard Light",68,"1977-10-21","spotify:track:2g7gviEeJr6pyxO7G35EWQ"
0.438,5.69e-05,0.0842,0.564,240800,"All Along the Watchtower",80,"1968-10-25","spotify:track:2aoo2jlRnM3A0NyLQqMN2f"
0.636,0.0164,0.108,0.397,273802,"Alone",4,"2016-05-13","spotify:track:12mGwph2YzDIlChtq3EdXP"
0.485,0.000184,0.0584,0.472,238293,"The Contract",0,"2016-07-01","spotify:track:3i6YdBjenP9UE4ELhlcUlj"
0.555,0.405,0.105,0.383,161493,"The Scare Floor",16,"2010-01-01","spotify:track:6pesNanWOOL5Yd4v5uQ1A5"
0.644,1.27e-06,0.127,0.926,187533,"Umbrella",32,"2010-08-27","spotify:track:6cEnw857u8QoKNXvphv8W4"
0.584,3.73e-06,0.647,0.791,228173,"Another Day Of Sun - From ""La La Land"" Soundtrack",0,"2016-12-09","spotify:track:0zCfmceT1YvtZXGbR6Roht"
0.716,0.00141,0.0401,0.657,188866,"Soul Man",0,"2002","spotify:track:4KN78GEhQrmb2mycEHXUPq"
0.502,3.92e-06,0.281,0.903,162093,"Johnny B. Goode",0,"1999-12-20","spotify:track:7KkzVlps826NezcpXPvEuV"
0.697,0.00973,0.0887,0.678,293462,"Human Nature (feat. Cas Haley)",0,"2012-08-27","spotify:track:4LRaRpcOQv2fhE4pdP3zqG"
0.869,2.17e-05,0.126,0.9,339320,"Let's Groove",76,"1981-11-14","spotify:track:3koCCeSaVUyrRo3N2gHrd8"
0.689,0.509,0.064,0.578,233866,"On Melancholy Hill",78,"2010-03-03","spotify:track:0q6LuUqGLUiCPP1cbdwFs3"
0.758,0.0103,0.0712,0.836,258866,"Back In Time",60,"2006-01-01","spotify:track:1lr7QGyV5RohlODzAqnuZA"
0.43,0.00288,0.265,0.425,258146,"Don't You Go Up The Sky",12,"2013-02-08","spotify:track:6w1K7i14mLgRQSrOG2wNHd"
0.544,0.665,0.231,0.0513,282868,"Strngr Thngs",29,"2016-09-29","spotify:track:2qVM8m0hj5FJZdW6oYgMOP"
0.273,0.0111,0.142,0.472,405640,"Paradise City",80,"1987-07-21","spotify:track:3YBZIN3rekqsKxbJc9FZko"
0.544,0,0.13,0.647,215133,"Danger Zone - From ""Top Gun"" Original Soundtrack",74,"1997-03-25","spotify:track:34x6hEJgGAOQvmlMql5Ige"
0.852,2.62e-06,0.186,0.569,216546,"Sunshine",2,"2007-07-24","spotify:track:5OmcnFH77xm4IETrbEvhlq"
0.427,0.184,0.869,0.713,425466,"Brooklyn",0,"2005-02-05","spotify:track:20D61egfxKE9pp3Ffx99Xz"
0.744,1.18e-05,0.163,0.687,178400,"Love Train",70,"1972","spotify:track:28285KFbyCq8sJofn58qlD"
0.448,0.896,0.266,0.208,254360,"Duel of the Fates",0,"1999-05-04","spotify:track:6BmyeQXKNuiqTMnyd2mI8g"
0.76,0.0868,0.298,0.966,244999,"DARE",76,"2005-05-23","spotify:track:4Hff1IjRbLGeLgFgxvHflk"
0.5,0.641,0.109,0.323,226101,"Super Smash Bros. Brawl - Bramble Blast",36,"2014-03-14","spotify:track:1DAny3gcQcQuzQiaLbHwAJ"
0,0,0,0,4853,"Interlude: Elevator Going Up",0,"2017-04-28","spotify:track:5vN4teJoROMQoadL4IzejG"
0.217,0.00011,0.222,0.236,311106,"Welcome to the Black Parade",79,"2006-10-23","spotify:track:5wQnmLuC1W7ATsArWACrgW"
0.472,0.308,0.0837,0.171,382296,"Comfortably Numb - 2011 Remastered Version",0,"1979-11-30","spotify:track:29zkoUsOE50f0I3n44LjjU"
0.338,0.0032,0.116,0.197,482830,"Stairway to Heaven - Remaster",81,"1971-11-08","spotify:track:5CQ30WqJwcep0pYcV4AMNc"
0.4,0.753,0.0695,0.0924,383626,"Contact",57,"2013-05-17","spotify:track:2KHRENHQzTIQ001nlP9Gdc"
