Country;Year;Medals Won;Medals Last Year;GDP;Populatie;Land in Km2;HostCountry
Zimbabwe;2004;3;0;24030000000;12671860;390757;0
Zimbabwe;2008;4;3;4415702800;12311143;386850;0
Zimbabwe;2012;0;4;9200000000;13014000;390757;0
Zimbabwe;2016;0;0;16289000000;15602751;390757;0
Zambia;2004;0;0;8596000000;10462436;752612;0
Zambia;2008;0;0;17910858638;11477447;743390;0
Zambia;2012;0;0;18400000000;13092666;752612;0
Zambia;2012;0;0;18400000000;13092666;825615;0
Zambia;2016;0;0;19551000000;16211767;752612;0
Yemen;2004;0;0;15220000000;20024867;527968;0
Yemen;2008;0;0;26910851362;22230531;527970;0
Yemen;2012;0;0;36700000000;24527000;527968;0
Yemen;2016;0;0;27318000000;26832215;527968;0
Vietnam;2004;0;1;203900000000;82689518;331212;0
Vietnam;2008;1;0;99130304099;85262356;310070;0
Vietnam;2012;0;1;121600000000;87840000;331212;0
Vietnam;2016;2;0;202616000000;91703800;331212;0
Venezuela;2004;0;0;117900000000;25017387;916445;0
Venezuela;2008;1;0;315953000000;26023528;882050;0
Venezuela;2012;0;1;309800000000;28946101;916445;0
Venezuela;2016;3;0;371337000000;31108083;916445;0
Vanuatu;2004;0;0;563000000;202609;12189;0
Vanuatu;2008;0;0;6079586161;211971;12190;0
Vanuatu;2012;0;0;800000000;234023;12189;0
Vanuatu;2016;0;0;774000000;264652;12189;0
Uzbekistan;2004;0;4;44110000000;26410416;447400;0
Uzbekistan;2008;4;0;29549438884;27780059;425400;0
Uzbekistan;2012;3;4;43700000000;29123400;447400;0
Uzbekistan;2016;13;3;67220000000;31299500;447400;0
Uruguay;2004;0;1;42940000000;3399237;176215;0
Uruguay;2008;0;0;30366213118;3460607;175020;0
Uruguay;2012;0;0;49400000000;3286314;176215;0
Uruguay;2016;0;0;52420000000;3431555;176215;0
United States;2004;101;93;10980000000000;293027571;9525067;0
United States;2008;112;101;14712800000000;301139947;9160000;0
United States;2012;104;112;15060000000000;313900000;9525067;0
United States;2016;121;104;18569100000000;321418820;9525067;0
United Arab Emirates;2004;0;0;57700000000;2523915;83600;0
United Arab Emirates;2008;0;0;315475000000;4444011;83600;0
United Arab Emirates;2012;0;0;358100000000;8264070;83600;0
United Arab Emirates;2016;1;0;348743000000;9156963;83600;0
Ukraine;2004;22;23;256500000000;47732079;603500;0
Ukraine;2008;22;22;179817000000;46299862;579330;0
Ukraine;2012;19;22;162900000000;45560272;603500;0
Ukraine;2016;11;19;93270000000;45198200;603500;0
