Country;Total
Algeria;1
Antigua&Barbuda;1
Argentina;2
Armenia;5
Australia;46
Austria;5
Azerbaijan;6
Bahamas;2
Bahrain;4
Bangladesh;1
Belarus;9
Belgium;9
Bosnia y Herzegovina;1
Brazil;13
Bulgaria;4
Canada;22
Chile;1
China;92
Colombia;6
Cote d'Ivoire;2
Croatia;7
Cuba;10
Cyprus;1
Czech Republic;8
Denmark;7
Ecuador;3
Egypt;1
Estonia;4
Ethiopia;8
Fiji;1
Finland;1
France;32
Georgia;6
Germany;41
Great Britain;53
Greece;4
Grenada;1
HongKong;3
Hungary;16
India;16
Indonesia;4
Iran;7
Ireland;4
Israel;5
Italy;38
Jamaica;12
Japan;52
Jordan;1
Kazakhstan;12
Kenya;11
Korea(North);9
Korea(South);25
Kosovo;3
Kuwait;1
Kyrgyzstan;1
Latvia;1
Lithuania;1
Macedonia;1
Malaysia;2
Mexico;2
Mongolia;3
Montenegro;1
Morocco;3
Namibia;1
Netherlands;33
New Zealand;17
Nigeria;2
Norway;6
Philippines;4
Poland;25
Portugal;5
Qatar;2
Romania;6
Russia;71
Serbia;10
Slovakia;1
Slovenia;4
South Africa;3
Spain;28
Sweden;15
Switzerland;10
Taiwan;8
Thailand;1
Turkey;14
USA;109
Uganda;2
Ukraine;15
Uzbekistan;10
Venezuela;1
