"","ID","Title","Director","Genre"
"1",25248,"","Michael McGowan"," Comedy    Drama                  "
"2",11342,"","Steve Miner"," Adventure    Comedy    Fantasy    Horror            "
"3",11891,"","Steve Oedekerk"," Action    Comedy                  "
"4",301325,"#Horror","Tara Subkoff"," Drama    Mystery    Horror    Thriller            "
"5",19913,"(500) Days of Summer","Marc Webb"," Comedy    Drama    Romance               "
"6",8329,"[REC]","Jaume Balaguer\u00f3"," Horror    Mystery                  "
"7",10664,"[REC]²","Jaume Balaguer\u00f3"," Thriller    Horror                  "
"8",333371,"10 Cloverfield Lane","Dan Trachtenberg"," Thriller    Science Fiction    Drama               "
"9",345003,"10 Days in a Madhouse","Timothy Hines"," Drama                     "
"10",4951,"10 Things I Hate About You","Gil Junger"," Comedy    Romance    Drama               "
"11",10481,"102 Dalmatians","Kevin Lima"," Comedy    Family                  "
"12",13197,"10th & Wolf","Robert Moresco"," Action    Crime    Drama    Mystery    Thriller         "
"13",9282,"11:14","Greg Marcks"," Crime    Drama    Thriller               "
"14",389,"12 Angry Men","Sidney Lumet"," Drama                     "
"15",17134,"12 Rounds","Renny Harlin"," Action    Adventure    Drama    Thriller            "
"16",76203,"12 Years a Slave","Steve McQueen"," Drama    History                  "
"17",44115,"127 Hours","Danny Boyle"," Adventure    Drama    Thriller               "
"18",10096,"13 Going on 30","Gary Winick"," Comedy    Fantasy    Romance               "
"19",300671,"13 Hours: The Secret Soldiers of Benghazi","Michael Bay"," Action    Drama    History    Thriller    War         "
"20",3021,"1408","Mikael H\u00e5fstr\u00f6m"," Horror    Thriller                  "
"21",2749,"15 Minutes","Stacey Beneville"," Action    Crime    Thriller               "
"22",2207,"16 Blocks","Richard Donner"," Action    Adventure    Crime    Thriller            "
"23",91122,"16 to Life","Becky Smith"," Comedy    Romance                  "
"24",16996,"17 Again","Burr Steers"," Comedy                     "
"25",14902,"1776","Peter H. Hunt"," Drama    Comedy    History    Music            "
"26",76349,"1911","Jackie Chan"," Adventure    Drama    Action    History    War         "
"27",11519,"1941","Steven Spielberg"," Action    Comedy                  "
"28",215918,"1982","Tommy Oliver"," Drama                     "
"29",584,"2 Fast 2 Furious","John Singleton"," Action    Crime    Thriller               "
"30",136400,"2 Guns","Baltasar Korm\u00e1kur"," Action    Comedy    Crime               "
"31",39303,"2:13","Charles Adelman"," Horror    Thriller    Mystery               "
"32",111794,"20 Dates","Myles Berkowitz"," Romance    Comedy                  "
"33",159014,"20 Feet from Stardom","Morgan Neville"," Documentary    Music                  "
"34",173,"20,000 Leagues Under the Sea","Richard Fleischer"," Adventure    Drama    Science Fiction               "
"35",15256,"200 Cigarettes","Risa Bramon Garcia"," Comedy    Drama    Romance               "
"36",62,"2001: A Space Odyssey","Stanley Kubrick"," Science Fiction    Mystery    Adventure               "
"37",14161,"2012","Roland Emmerich"," Action    Adventure    Science Fiction               "
"38",126509,"2016: Obama's America","John Sullivan"," Documentary                     "
"39",844,"2046","Wong Kar-wai"," Fantasy    Drama    Science Fiction    Romance            "
"40",8065,"21","Robert Luketic"," Drama    Crime                  "
"41",107811,"21 & Over","Jon Lucas"," Comedy                     "
"42",470,"21 Grams","Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu"," Drama    Crime    Thriller               "
"43",64688,"21 Jump Street","Phil Lord"," Action    Comedy    Crime               "
"44",187017,"22 Jump Street","Phil Lord"," Crime    Comedy    Action               "
"45",22913,"24 7: Twenty Four Seven","Shane Meadows"," Comedy    Drama    Romance               "
"46",1429,"25th Hour","Spike Lee"," Crime    Drama                  "
"47",6557,"27 Dresses","Anne Fletcher"," Comedy    Romance                  "
"48",10468,"28 Days","Betty Thomas"," Comedy    Drama                  "
"49",170,"28 Days Later","Danny Boyle"," Horror    Thriller    Science Fiction               "
"50",1562,"28 Weeks Later","Juan Carlos Fresnadillo"," Horror    Thriller    Science Fiction               "
"51",68412,"3 Backyards","Eric Mendelsohn"," Drama                     "
"52",192102,"3 Days to Kill","McG"," Action    Drama    Thriller    Crime            "
"53",18885,"3 Ninjas Kick Back","Charles T. Kanganis"," Adventure    Action    Comedy    Family            "
"54",47816,"3 Strikes","DJ Pooh"," Action    Comedy    Romance               "
"55",5176,"3:10 to Yuma","James Mangold"," Western                     "
"56",4513,"30 Days of Night","David Slade"," Horror    Thriller                  "
"57",62206,"30 Minutes or Less","Ruben Fleischer"," Action    Adventure    Comedy               "
"58",157058,"30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo","Craig Moss"," Comedy                     "
"59",1271,"300","Zack Snyder"," Action    Adventure    War               "
"60",53182,"300: Rise of an Empire","Noam Murro"," Action    War                  "
"61",12138,"3000 Miles to Graceland","Demian Lichtenstein"," Action    Adventure    Comedy    Thriller    Crime         "
"62",2009,"4 Months, 3 Weeks and 2 Days","Cristian Mungiu"," Drama                     "
"63",2752,"40 Days and 40 Nights","Michael Lehmann"," Comedy    Romance                  "
"64",109410,"42","Brian Helgeland"," Drama                     "
"65",3062,"42nd Street","Lloyd Bacon"," Music    Comedy    Romance               "
"66",64686,"47 Ronin","Carl Rinsch"," Drama    Action    Adventure    Fantasy            "
"67",50601,"5 Days of War","Renny Harlin"," War    Drama                  "
"68",1824,"50 First Dates","Peter Segal"," Comedy    Romance                  "
"69",40807,"50/50","Jonathan Levine"," Comedy    Drama                  "
"70",79161,"51 Birch Street","Doug Block"," Documentary                     "
"71",3682,"54","Mark Christopher"," Music    Drama                  "
"72",27759,"55 Days at Peking","Nicholas Ray"," Action    Drama    History               "
"73",433715,"8 Days","Jaco Booyens"," Thriller    Drama                  "
"74",13982,"8 Heads in a Duffel Bag","Tom Schulman"," Comedy    Crime                  "
"75",65,"8 Mile","Curtis Hanson"," Drama                     "
"76",1958,"8 Women","Fran\u00e7ois Ozon"," Comedy    Thriller    Music    Crime    Mystery         "
"77",40428,"8: The Mormon Proposition","Reed Cowan"," Documentary                     "
"78",3489,"88 Minutes","Jon Avnet"," Crime    Mystery    Thriller               "
"79",8224,"8MM","Joel Schumacher"," Thriller    Crime    Mystery               "
"80",12244,"9","Shane Acker"," Action    Adventure    Animation    Science Fiction    Thriller         "
"81",343795,"90 Minutes in Heaven","Michael Polish"," Drama                     "
"82",453,"A Beautiful Mind","Ron Howard"," Drama    Romance                  "
"83",386826,"A Beginner's Guide to Snuff","Mitchell Altieri"," Thriller    Comedy    Horror               "
"84",55720,"A Better Life","Chris Weitz"," Drama                     "
"85",5902,"A Bridge Too Far","Richard Attenborough"," Drama    History    War               "
"86",9487,"A Bug's Life","Andrew Stanton"," Adventure    Animation    Comedy    Family            "
"87",13187,"A Charlie Brown Christmas","Bill Melendez"," Animation    Family    Comedy    TV Movie            "
"88",17979,"A Christmas Carol","Robert Zemeckis"," Animation    Drama                  "
"89",850,"A Christmas Story","Bob Clark"," Comedy    Family                  "
"90",11247,"A Cinderella Story","Mark Rosman"," Comedy                     "
"91",9422,"A Civil Action","Steven Zaillian"," Drama                     "
"92",8435,"A Cock and Bull Story","Michael Winterbottom"," Comedy    Drama                  "
"93",48231,"A Dangerous Method","David Cronenberg"," Drama    Thriller                  "
"94",104896,"A Dog Of Flanders","Kevin Brodie"," Drama    Family                  "
